pwsid,name,state,counties_served,cities_served,population_served,service_connections,owner_type,source_water_type,violations_total_ever,violations_health_based_ever,violations_health_based_last5y,violations_health_based_currently_unaddressed,most_recent_violation_date,most_recent_health_violation_date,contaminants_ever_flagged,last_reported_date
OK1020805,DEL CITY,OK,Oklahoma,DEL CITY,22128,8924,L,SW,13,7,1,0,2025-05-10,2025-05-10,"CARBON, TOTAL; LEAD AND COPPER RULE REVISIONS; Surface Water Treatment Rule; TTHM",05/13/2026
KY0011016,COLUMBIA/ADAIR UTILITIES DISTRICT,KY,Adair,CAMPBELLSVILLE,22113,8554,L,SW,16,4,1,0,2025-01-09,2025-01-09,Revised Total Coliform Rule; Total Haloacetic Acids (HAA5),06/18/2026
IL0770150,CARBONDALE,IL,Jackson,CARBONDALE,22107,7134,L,SW,12,7,3,0,2026-03-08,2025-01-12,"CARBON, TOTAL; Interim Enhanced Surface Water Treatment Rule; Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule",05/27/2026
MI0002280,FERNDALE,MI,Oakland,FERNDALE,22105,10250,L,SWP,5,1,1,0,2025-11-10,2022-06-11,Lead and Copper Rule,06/23/2026
AZ0410004,COMMUNITY WC OF GREEN VALLEY,AZ,Pima,GREEN VALLEY,22085,11215,M,GW,206,1,0,0,2022-01-07,1999-01-02,Coliform (TCR),05/14/2026
ME0090750,KENNEBEC WATER DISTRICT,ME,Kennebec,FAIRFIELD; OAKLAND; VASSALBORO; WATERVILLE; WINSLOW,22060,8824,L,SW,15,1,0,0,2025-01-11,2010-01-08,Coliform (TCR),05/13/2026
CA1910125,PICO WD,CA,Los Angeles,PICO RIVERA,22051,5361,L,GW,24,2,0,0,2021-01-01,1993-01-10,Coliform (TCR),06/22/2026
IL0430100,BLOOMINGDALE,IL,DuPage,WESTON,22018,7416,L,SWP,19,6,0,0,2025-01-07,1992-01-09,Barium; Coliform (TCR); Combined Radium (-226 and -228),05/27/2026
FL3351333,TAVARES WATER DEPARTMENT (4 WPS),FL,Lake,TAVARES,22007,9881,L,GW,38,9,0,0,2025-01-09,2015-01-01,Coliform (TCR),05/18/2026
UTAH29010,NORTH OGDEN CITY,UT,Weber,NORTH OGDEN,22000,7225,L,GW,163,4,0,0,2026-01-03,2019-01-01,Groundwater Rule,06/17/2026
GA1530042,USAF-ROBINS AB MAIN,GA,Houston,WARNER ROBINS,22000,581,F,GW,16,2,0,0,2026-01-03,2009-01-09,Coliform (TCR),06/12/2026
NJ1421003,MONTVILLE TWP MUA,NJ,Morris,MONTVILLE TWP.-1421,22000,6596,L,SWP,33,3,3,0,2025-01-08,2025-01-08,Surface Water Treatment Rule,06/30/2026
FL2161212,N.A.S. JACKSONVILLE,FL,Duval,JACKSONVILLE,22000,539,F,GW,14,8,0,0,2024-01-07,2009-01-10,Coliform (TCR),05/18/2026
AZ0412004,NOGALES CITY OF,AZ,Santa Cruz,NOGALES,22000,5400,L,GW,1230,23,2,0,2026-04-04,2025-05-10,Arsenic; Asbestos; Coliform (TCR); Groundwater Rule; LEAD AND COPPER RULE REVISIONS; Revised Total Coliform Rule,05/14/2026
UTAH25014,HIGHLAND CITY,UT,Utah,HIGHLAND,22000,5824,L,GW,299,5,0,0,2018-12-02,2018-12-02,Coliform (TCR); Groundwater Rule,06/17/2026
MD0180022,PATUXENT NAVAL AIR STATION (NAVFAC-WASH),MD,St. Mary's,PATUXENT RIVER,22000,832,F,GW,58,2,0,0,2023-01-06,2000-01-02,Coliform (TCR),05/18/2026
VA1121090,CHRISTIANSBURG TOWN OF,VA,Montgomery,CHRISTIANSBURG,22000,10842,L,SWP,3,1,0,0,2023-01-10,2010-01-07,Coliform (TCR),05/19/2026
NJ0820001,WEST DEPTFORD TWP WATER DEPT,NJ,Gloucester,WEST DEPTFORD TWP.-0820,22000,5782,L,SWP,76,2,0,0,2027-06-12,2021-01-01,"Lead and Copper Rule; Thallium, Total",06/30/2026
KY0241001,FORT CAMPBELL,KY,Christian,FORT CAMPBELL,22000,6494,F,GWP,10,1,0,0,2019-01-06,2004-01-04,Coliform (TCR),06/18/2026
IL0312970,SOUTH HOLLAND,IL,Cook,SOUTH HOLLAND,22000,9214,L,SWP,23,5,2,0,2025-01-07,2022-01-06,Lead and Copper Rule,05/27/2026
NJ2108001,HACKETTSTOWN MUA,NJ,Warren,HACKETTSTOWN TOWN-2108,22000,5591,L,GW,100,2,0,0,2025-05-07,2014-01-09,Coliform (TCR),06/30/2026
MO5010619,OZARK PWS,MO,Christian,OZARK,22000,10375,L,GW,17,11,0,0,2025-02-07,2005-01-10,Coliform (TCR),06/16/2026
CO0116175,CHERRY CREEK VALLEY WSD,CO,Denver,DENVER,22000,2317,L,SWP,0,0,0,0,,,,06/17/2026
CA3310074,TEMESCAL VALLEY WATER DISTRICT,CA,Riverside,TEMESCAL VALLEY,21971,6812,L,SWP,9,2,0,0,2023-01-10,2003-01-09,Coliform (TCR),06/22/2026
OH7802403,NILES CITY PWS,OH,Trumbull,NILES,21961,9710,L,SWP,7,1,0,0,2022-07-01,2004-01-07,TTHM,05/15/2026
WA5393343,PUD #1 OF ASOTIN COUNTY,WA,Asotin,Clarkston,21930,9150,L,GW,101,16,0,0,2015-01-07,2000-01-09,Coliform (TCR),06/19/2026
FL2450364,FERNANDINA BEACH WTP,FL,Nassau,FERNANDINA BEACH,21925,8675,L,GW,25,4,0,0,2024-01-01,2014-01-07,Coliform (TCR); TTHM,05/18/2026
CA1510019,"SHAFTER, CITY OF",CA,Kern,SHAFTER,21915,4998,L,GW,20,17,0,0,2015-01-12,2015-01-12,Arsenic; Coliform (TCR); TTHM,06/22/2026
WA5341998,KING COUNTY WATER DISTRICT #125,WA,King,SEATTLE,21904,7267,L,SWP,5,1,0,0,2024-01-07,1992-01-01,Coliform (TCR),06/19/2026
KY1000311,SOUTHEASTERN WATER ASSOC/NELSON VALLEY,KY,Pulaski,SOMERSET,21895,8014,P,SWP,6,0,0,0,2017-01-01,,,06/18/2026
MI0001790,CHARTER TOWNSHIP OF DELTA,MI,Eaton,LANSING,21856,27893,L,GWP,0,0,0,0,,,,06/23/2026
AL0000490,"SELMA, THE WW AND SB OF THE CITY OF",AL,Dallas,SELMA,21834,7278,L,GW,26,4,0,0,2025-01-04,2008-01-10,Coliform (TCR),05/18/2026
WI2520184,CALEDONIA WATER UTILITY - VILLAGE OF,WI,Racine,CALEDONIA,21819,8081,L,SWP,15,1,1,0,2025-05-10,2025-05-10,LEAD AND COPPER RULE REVISIONS,05/29/2026
OH0100012,ADAMS COUNTY REGIONAL WD PWS,OH,Adams,WEST UNION,21810,7311,L,GW,6,0,0,0,2018-01-07,,,05/15/2026
MA4167000,MANSFIELD WATER DIVISION,MA,Bristol,MANSFIELD,21797,7534,L,GW,21,6,0,0,2022-01-09,2009-01-07,Coliform (TCR),06/22/2026
ND3000596,MANDAN CITY OF,ND,Morton,MANDAN,21769,7358,L,SW,0,0,0,0,,,,06/29/2026
VA5031150,CAMPBELL COUNTY CENTRAL SYSTEM,VA,Campbell,LYNCHBURG,21761,9230,L,SW,31,1,0,0,2000-01-07,1991-01-04,Coliform (TCR),05/19/2026
IL0430270,DARIEN,IL,DuPage,DARIEN,21751,8944,L,SWP,3,0,0,0,2024-01-07,,,05/27/2026
MO3010728,SEDALIA PWS,MO,Pettis,SEDALIA,21725,10912,L,GW,38,1,0,0,2026-01-01,2007-01-10,"CARBON, TOTAL",06/16/2026
OH7100112,CHILLICOTHE CITY PWS,OH,Ross,CHILLICOTHE,21725,10205,L,GW,10,0,0,0,2025-02-07,,,05/15/2026
NJ0112001,HAMILTON TOWNSHIP MUA,NJ,Atlantic,HAMILTON TWP-0112; WEYMOUTH TWP-.0123,21720,4611,L,GW,134,2,0,0,2026-06-12,1991-01-05,Coliform (TCR); Tetrachloroethylene,06/30/2026
MI0004530,MOUNT PLEASANT,MI,Isabella,MOUNT PLEASANT,21688,5618,L,SW,5,1,1,0,2023-01-10,2022-01-09,Interim Enhanced Surface Water Treatment Rule,06/23/2026
IL0314740,PARK FOREST,IL,Cook,PARK FOREST,21687,9060,L,GW,41,2,0,0,2023-01-01,2019-01-07,Coliform (TCR); Revised Total Coliform Rule,05/27/2026
RI1858423,LINCOLN WATER COMMISSION,RI,Providence,LINCOLN,21664,6610,L,SWP,4,0,0,0,2022-11-11,,,05/26/2026
CA5810002,LINDA COUNTY WATER DISTRICT,CA,Yuba,MARYSVILLE,21654,5464,L,GW,12,6,0,0,2020-01-07,2013-01-03,Coliform (TCR),06/22/2026
MA3342000,WILMINGTON WATER DEPT,MA,Middlesex,WILMINGTON,21654,7789,L,SWP,31,5,1,0,2022-01-09,2022-01-09,Coliform (TCR); Lead and Copper Rule; Nitrite; Revised Total Coliform Rule,06/22/2026
NY5903457,SCARSDALE WATER DEPARTMENT,NY,Westchester,SCARSDALE,21649,5800,L,SWP,0,0,0,0,,,,06/25/2026
OH4801303,SYLVANIA CITY,OH,Lucas,SYLVANIA,21618,7362,L,SWP,5,0,0,0,2025-02-07,,,05/15/2026
MI0002500,FRENCHTOWN TOWNSHIP,MI,Monroe,MONROE,21609,6339,L,SW,55,0,0,0,2024-01-04,,,06/23/2026
CA1310006,"IMPERIAL, CITY OF",CA,Imperial,IMPERIAL,21591,6939,L,SWP,20,11,1,0,2025-05-10,2025-05-10,LEAD AND COPPER RULE REVISIONS; Surface Water Treatment Rule; TTHM,06/22/2026
PA1090070,NWWA WARRINGTON TOWNSHIP,PA,Bucks,NORTH WALES,21588,8788,L,SWP,487,6,0,0,2024-01-02,2018-01-12,"Coliform (TCR); Gross Alpha, Excl. Radon and U; Groundwater Rule; Surface Water Treatment Rule",06/15/2026
WI4450429,GRAND CHUTE TN SAN DIST 1,WI,Outagamie,GRAND CHUTE,21583,7993,L,SWP,9,2,0,0,2024-01-10,2010-01-10,Coliform (TCR),05/29/2026
CA3710023,SANTA FE I.D.,CA,San Diego,RANCHO SANTA FE,21578,6503,L,SW,1,0,0,0,1988-01-12,,,06/22/2026
MA2328000,WESTBOROUGH WATER DEPARTMENT,MA,Worcester,WESTBOROUGH,21567,5439,L,SW,78,11,1,0,2025-01-11,2025-01-11,Coliform (TCR); Surface Water Treatment Rule,06/22/2026
TN0000373,LAFAYETTE WATER SYSTEM,TN,Macon,LAFAYETTE,21551,8289,L,SW,30,3,0,0,2021-01-07,2010-02-10,Coliform (TCR); Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,05/14/2026
OH6000412,MUSKINGUM COUNTY WATER - SE,,Muskingum,,21540,8835,P,GW,13,3,0,0,2025-06-12,2017-01-10,Coliform (TCR); Fluoride; TTHM,05/15/2026
NC0181010,"FOREST CITY, TOWN OF",NC,Rutherford,FOREST CITY,21521,8473,L,SW,24,1,0,0,2025-01-04,2009-01-01,"CARBON, TOTAL",06/26/2026
MO1010675,RAYMORE PWS,MO,Cass,RAYMOOR,21517,8479,L,SWP,9,4,0,0,2025-02-07,2007-01-05,Coliform (TCR),06/16/2026
WA5393200,WASHINGTON STATE UNIVERSITY,WA,Whitman,Pullman,21506,4355,S,GW,11,0,0,0,2008-01-04,,,06/19/2026
FL6530315,"BARTOW, CITY OF",FL,Polk,BARTOW,21501,8239,L,GW,10,0,0,0,2026-01-03,,,05/18/2026
IL0310240,BLUE ISLAND,IL,Cook,BLUE ISLAND,21494,5623,L,SWP,11,2,0,0,2023-01-07,1992-07-12,Coliform (TCR); Lead and Copper Rule,05/27/2026
MN1020034,Andover,MN,Anoka,Andover,21455,7411,L,GW,4,3,0,0,2007-05-07,2007-05-07,"Combined Radium (-226 and -228); Gross Alpha, Excl. Radon and U",05/28/2026
WA5393400,WASHOUGAL CITY OF,WA,Clark,Washougal,21441,7120,L,GW,81,2,0,0,2015-01-07,1993-01-08,Coliform (TCR),06/19/2026
CA2810005,"AMERICAN CANYON, CITY OF",CA,Napa,AMERICAN CANYON,21437,7150,L,SW,17,15,0,0,2020-01-10,2019-01-10,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; TTHM,06/22/2026
UTAH25168,VINEYARD CITY,UT,Utah,SARATOGA SPRINGS,21431,3020,L,SWP,12,0,0,0,2025-01-10,,,06/17/2026
AR0000056,SILOAM SPRINGS WATERWORKS,AR,Benton,SILOAM SPRINGS,21430,8572,L,SW,13,8,0,0,2023-01-07,2021-01-07,Coliform (TCR); Surface Water Treatment Rule,05/12/2026
MI0005450,AUBURN HILLS,MI,Oakland,AUBURN HILLS,21412,5637,L,SWP,6,0,0,0,2024-02-04,,,06/23/2026
CA5610009,PORT HUENEME CITY WATER DEPT,CA,Ventura,PORT HUENEME,21407,6563,L,SWP,9,0,0,0,2024-01-03,,,06/22/2026
FL4565031,ST. LUCIE WEST SERVICES DISTRICT,FL,St. Lucie,PORT ST. LUCIE,21400,7093,M,GW,44,2,0,0,2025-01-12,1996-01-12,Coliform (TCR),05/18/2026
GU0000003,GWA CENTRAL WATER SYSTEM,GU,Guam,ADELUP; AGANA HEIGHTS; AGAT; ANIGUA; APRA HEIGHTS; ASAN; PIGO; PITI; SANTA RITA,21398,3295,S,SWP,40,17,1,0,2022-01-04,2022-01-04,Coliform (TCR); Revised Total Coliform Rule; TTHM; Total Haloacetic Acids (HAA5),06/25/2026
MA2103000,GARDNER WATER DEPARTMENT,MA,Worcester,GARDNER,21381,5795,L,SW,47,7,1,0,2022-01-01,2022-01-01,Coliform (TCR); Lead and Copper Rule; Surface Water Treatment Rule,06/22/2026
IL1610250,EAST MOLINE,IL,Rock Island,EAST MOLINE,21374,7294,L,SW,20,14,0,0,2024-01-07,2006-01-07,Surface Water Treatment Rule; TTHM,05/27/2026
LA1007001,ASSUMPTION PARISH WW DISTRICT 1,LA,Assumption Parish,NAPOLEONVILLE,21366,9760,L,SW,33,27,0,0,2019-01-10,2019-01-10,"CARBON, TOTAL; Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5)",06/23/2026
WI2410144,SOUTH MILWAUKEE WATERWORKS,WI,Milwaukee,SOUTH MILWAUKEE,21340,7903,L,SW,27,0,0,0,2023-01-06,,,05/29/2026
ME0090300,MAINE WATER COMPANY CAMDEN & ROCKLAND,ME,Knox,CAMDEN; OWLS HEAD; ROCKLAND; ROCKPORT; THOMASTON; WARREN,21315,8526,P,SW,7,4,0,0,2022-01-01,2010-01-09,Coliform (TCR); Lead and Copper Rule; Total Haloacetic Acids (HAA5),05/13/2026
GA1890001,THOMSON-MCDUFFIE CO W&S COMM,GA,McDuffie,THOMSON,21312,7455,L,SW,53,30,14,0,2026-01-01,2026-01-01,"CARBON, TOTAL; Coliform (TCR); TTHM; Total Haloacetic Acids (HAA5)",06/12/2026
AL0001157,"HELENA, THE UB OF THE CITY OF",AL,Shelby,HELENA,21300,7100,L,SWP,22,0,0,0,2003-01-10,,,05/18/2026
AL0000753,LEEDS WATER WORKS BOARD,AL,Jefferson,LEEDS,21300,7100,L,GW,68,3,0,0,2020-01-07,2008-01-06,Coliform (TCR); Surface Water Treatment Rule,05/18/2026
MA2002000,ACTON WATER SUPPLY DISTRICT,MA,Middlesex,ACTON,21285,6905,L,GU,72,20,0,0,2024-01-03,2014-01-12,Coliform (TCR),06/22/2026
IL0970250,GRAYSLAKE,IL,Lake,GRAYS LAKE,21248,7298,L,SWP,12,6,0,0,2006-01-07,2000-01-09,Coliform (TCR); Lead and Copper Rule,05/27/2026
IL0890350,GENEVA,IL,Kane,GENEVA,21247,8409,L,GW,37,29,0,0,2021-01-01,2007-01-07,"Coliform (TCR); Combined Radium (-226 and -228); Gross Alpha, Excl. Radon and U; Lead and Copper Rule",05/27/2026
TN0000392,LAWRENCEBURG UTILITY SYSTEMS,TN,Lawrence,LAWRENCEBURG,21244,7927,L,SW,30,1,0,0,2021-01-07,2004-01-09,Interim Enhanced Surface Water Treatment Rule,05/14/2026
FL1570146,"MILTON, CITY OF WATER SYSTEM",FL,Santa Rosa,MILTON,21241,7193,L,GW,10,2,0,0,2022-01-01,2007-01-07,Coliform (TCR),05/18/2026
RI1647530,"CUMBERLAND, TOWN OF",RI,Providence,CUMBERLAND,21235,8565,L,SWP,30,7,0,0,2022-01-07,2005-01-04,"CARBON, TOTAL",05/26/2026
WA5394900,WEST RICHLAND CITY OF,WA,Benton,West Richland,21231,7188,L,SWP,26,1,0,0,2021-01-01,1996-01-04,Coliform (TCR),06/19/2026
TX2270161,WINDERMERE COMMUNITY,TX,Travis,AUSTIN,21231,7077,P,SWP,27,2,0,0,2019-01-01,2015-01-09,Coliform (TCR),06/26/2026
WA5372400,RIDGEFIELD PUBLIC WORKS,WA,Clark,Ridgefield,21225,5895,L,GW,1369,0,0,0,2023-01-02,,,06/19/2026
MI0000740,BLACKMAN TOWNSHIP,MI,Jackson,JACKSON,21222,2858,L,GUP,3,1,0,0,2022-05-02,2015-01-07,Coliform (TCR),06/23/2026
WA5310221,CONSOLIDATED IRRIG DIST 19 SYSTEM 2,WA,Spokane,Greenacres,21220,8617,L,GW,27,10,0,0,2024-01-01,2005-01-10,Coliform (TCR),06/19/2026
CT1630011,WINDHAM WATER WORKS,CT,Windham,MANSFIELD; WINDHAM,21214,4956,L,SW,13,6,0,0,2023-01-07,1995-01-03,Coliform (TCR); Surface Water Treatment Rule,06/29/2026
NY5600114,QUEENSBURY WATER DISTRICT,NY,Warren,QUEENSBURY (T),21200,9100,L,SW,7,1,0,0,2014-01-01,2005-01-06,Interim Enhanced Surface Water Treatment Rule,06/25/2026
SC0220006,BREEZY HILL W/D (SC0220006),SC,Aiken,GRANITEVILLE,21197,8961,L,SW,5,3,0,0,2015-01-01,2015-01-01,Total Haloacetic Acids (HAA5),06/29/2026
FL1570470,"MIDWAY WATER SYSTEM, INC.",FL,Santa Rosa,GULF BREEZE,21196,8090,L,GW,12,4,0,0,2016-01-04,2006-01-06,Coliform (TCR); Lead and Copper Rule,05/18/2026
SC0420007,HAMMOND W/D (SC0420007),SC,Anderson,BELTON,21193,8645,L,SWP,11,2,0,0,2025-01-10,2001-01-10,Coliform (TCR),06/29/2026
VA6047500,"CULPEPER, TOWN OF",VA,Culpeper,CULPEPER,21184,8103,L,SW,27,3,0,0,2019-01-01,2007-01-01,"CARBON, TOTAL",05/19/2026
IL1970250,CREST HILL,IL,Will,CREST HILL,21169,6500,L,GW,83,12,1,0,2026-11-02,2024-02-01,Coliform (TCR); Lead and Copper Rule,05/27/2026
NY3100564,LOCKPORT CITY WTP,NY,Niagara,LOCKPORT (C),21165,7440,L,SW,0,0,0,0,,,,06/25/2026
NC0102015,ENERGY UNITED WATER CORP,NC,Alexander,HIDDENITE,21148,8392,P,SWP,24,3,0,0,2009-07-01,2001-01-02,Surface Water Treatment Rule,06/26/2026
CA4410014,SAN LORENZO VALLEY WATER DIST,CA,Santa Cruz,BOULDER CREEK,21145,6496,L,SW,9,4,1,1,2025-05-10,2025-05-10,Coliform (TCR); LEAD AND COPPER RULE REVISIONS; Surface Water Treatment Rule,06/22/2026
LA1105009,CITY OF HAMMOND WATER SYSTEM,LA,Tangipahoa Parish,HAMMOND,21135,7049,L,GW,13,10,0,0,2016-01-09,2016-01-09,Chlorine dioxide; Coliform (TCR),06/23/2026
WI4050468,HOWARD WATERWORKS,WI,Brown,GREEN BAY,21133,7827,L,SWP,29,17,2,0,2025-05-10,2025-05-10,"Arsenic; Combined Radium (-226 and -228); Gross Alpha, Excl. Radon and U; Groundwater Rule; LEAD AND COPPER RULE REVISIONS",05/29/2026
MO6024292,JEFFERSON COUNTY PWSD 1,MO,Jefferson,ARNOLD,21113,7554,L,SWP,1,0,0,0,,,,06/16/2026
NY3100563,LOCKPORT TOWN WDS,NY,Niagara,LOCKPORT (T),21105,6064,L,SWP,0,0,0,0,,,,06/25/2026
TX0950004,PLAINVIEW MUNICIPAL WATER SYSTEM,TX,Hale,PLAINVIEW,21104,7328,L,SW,9,4,0,0,2017-01-11,2010-01-06,Coliform (TCR); Fluoride,06/26/2026
PA7670073,DOVER TWP WATER SYS,PA,York,DOVER,21097,5966,L,SWP,438,10,0,0,2025-01-02,2019-01-01,Coliform (TCR); Groundwater Rule; Nitrate; TTHM,06/15/2026
TN0000525,OCOEE UTILITY DISTRICT,TN,Bradley,CLEVELAND,21082,8300,L,SWP,70,56,0,0,2022-01-07,2009-02-10,Interim Enhanced Surface Water Treatment Rule; Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,05/14/2026
TX0430042,CITY OF MURPHY,TX,Collin,MURPHY,21082,6399,L,SWP,6,0,0,0,2023-01-01,,,06/26/2026
TX1080001,CITY OF ALAMO,TX,Hidalgo,ALAMO,21065,5856,L,SW,47,7,0,0,2024-06-12,2007-01-09,Coliform (TCR); TTHM,06/26/2026
MN1340016,Willmar,MN,Kandiyohi,Willmar,21045,6996,L,GW,3,0,0,0,2025-01-01,,,05/28/2026
KS2005111,"HAYS, CITY OF",KS,Ellis,HAYS,21040,8293,L,GW,17,5,0,0,2020-06-12,2015-01-09,Coliform (TCR); Groundwater Rule,05/15/2026
MI0001010,"BURTON, CITY OF",MI,Genesee,BURTON,21000,6203,L,SWP,20,2,0,0,2021-11-11,2020-01-07,Coliform (TCR); Lead and Copper Rule,06/23/2026
MI0002745,CHARTER TOWNSHIP OF GRAND BLANC,MI,Genesee,GRAND BLANC,21000,8058,L,SWP,7,1,0,0,2021-01-07,2021-01-07,Lead and Copper Rule,06/23/2026
KY1160291,MONTICELLO WATER & SEWER COMMISSION,KY,Wayne,MONTICELLO,21000,10593,L,SW,22,7,0,0,2024-01-07,2020-01-07,"CARBON, TOTAL; Revised Total Coliform Rule; TTHM; Total Haloacetic Acids (HAA5)",06/18/2026
NH2051010,SALEM WATER DEPT,NH,Rockingham,SALEM,21000,6953,L,SW,11,3,0,0,2024-01-04,2003-01-01,Surface Water Treatment Rule; TTHM,06/23/2026
OH2700012,GALLIA CO RURAL WATER ASSOCIATION,OH,Gallia,GALLIPOLIS,20995,9632,P,GW,7,3,0,0,2020-04-02,2007-01-07,Coliform (TCR),05/15/2026
PA7360063,EAST HEMPFIELD WATER AUTH,PA,Lancaster,LANDISVILLE,20988,6763,L,SWP,27,2,1,0,2025-01-07,2025-01-04,Coliform (TCR); Nitrate,06/15/2026
CO0107487,LOUISVILLE CITY OF,CO,Boulder,LOUISVILLE,20975,7368,L,SW,42,2,0,0,2025-05-10,2021-01-12,Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,06/17/2026
MN1270040,New Hope,MN,Hennepin,New Hope,20963,5674,L,SWP,2,0,0,0,1991-01-07,,,05/28/2026
090400109,Salt River Public Works,AZ,,Salt River Indian Community,20951,1303,N,GW,120,22,1,0,2022-01-10,2022-01-10,Arsenic; Coliform (TCR); Nitrate; Revised Total Coliform Rule,06/30/2026
OR4100047,ASHLAND WATER DEPARTMENT,OR,Jackson,ASHLAND,20946,9043,L,SW,24,0,0,0,2009-01-07,,,06/26/2026
OR4100528,"MILWAUKIE, CITY OF",OR,Clackamas,MILWAUKIE,20946,7480,L,GW,240,0,0,0,2025-01-04,,,06/26/2026
PR0002762,MOROVIS URBANO,PR,Morovis Municipio,MOROVIS,20927,7838,L,SW,247,97,0,0,2025-01-01,2021-01-06,"CARBON, TOTAL; Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; Total Haloacetic Acids (HAA5)",06/05/2026
TX0150114,JBSA LACKLAND,TX,Bexar,JBSA LACKLAND,20907,5948,F,GW,35,2,0,0,2024-06-01,2007-01-09,Coliform (TCR),06/26/2026
WA5322950,ELLENSBURG WATER DEPT,WA,Kittitas,Ellensburg,20900,10902,L,GW,12,1,0,0,2025-01-01,1997-01-09,Coliform (TCR),06/19/2026
NM3508317,GALLUP WATER SYSTEM,NM,McKinley,GALLUP,20880,6000,L,GW,40,9,8,8,2026-01-01,2026-01-01,Coliform (TCR); Groundwater Rule,06/16/2026
CA1210001,"ARCATA, CITY OF",CA,Humboldt,ARCATA,20875,6092,L,GWP,1,1,0,0,1993-01-06,1993-01-06,Surface Water Treatment Rule,06/22/2026
PA4140087,PAW PHILIPSBURG,PA,Centre,PHILIPSBURG,20865,7891,P,SW,0,0,0,0,,,,06/15/2026
LA1019051,CALCASIEU PARISH WW DISTRICT NO 1,LA,Calcasieu Parish,LAKE CHARLES,20837,8810,L,GW,8,3,0,0,2011-01-07,2010-01-08,Coliform (TCR),06/23/2026
OR4100483,"LINCOLN CITY, CITY OF",OR,Lincoln,LINCOLN CITY,20830,6564,L,SW,57,1,0,0,2020-01-04,1995-01-06,Surface Water Treatment Rule,06/26/2026
TX2470015,SS WSC,TX,Wilson,LAVERNIA,20826,6942,L,GW,3,0,0,0,2015-06-12,,,06/26/2026
UTAH29006,HOOPER WATER IMPROVEMENT DISTRICT,UT,Weber,HOOPER,20820,7223,L,GW,34,2,0,0,2021-06-12,2019-04-01,Coliform (TCR); Groundwater Rule,06/17/2026
MO3010700,ROLLA PWS,MO,Phelps,ROLLA,20800,8099,L,GW,4,1,0,0,2025-02-07,2004-01-08,Coliform (TCR),06/16/2026
IA8080701,SIRWA #2 (CRESTON),IA,Adair; Adams; Clarke; Decatur; Madison; Ringgold; Taylor; Union,CRESTON,20793,8317,P,SW,12,4,0,0,2015-01-05,2015-01-05,Coliform (TCR),06/17/2026
MN1660010,Northfield,MN,Rice,Northfield,20790,5418,L,GW,4,0,0,0,2014-01-07,,,05/28/2026
TX0940015,CRYSTAL CLEAR SUD,TX,Guadalupe,SAN MARCOS,20766,6922,L,SWP,142,48,0,0,2026-01-01,2019-01-07,Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5),06/26/2026
SD4601089,WEB WATER DEVELOPMENT ASSOCIATION,SD,Brown; Campbell; Day; Edmunds; Faulk; Marshall; McPherson; Potter; Spink; Walworth,ABERDEEN,20750,8300,P,SW,4,1,0,0,2010-01-02,2010-01-02,Stage 1 Disinfectants and Disinfection Byproducts Rule,06/17/2026
KS2003705,"PITTSBURG, CITY OF",KS,Crawford,PITTSBURG,20738,8291,L,GW,5,0,0,0,2026-01-01,,,05/15/2026
TX0700034,SARDIS LONE ELM WSC,TX,Ellis,MIDLOTHIAN,20736,6768,L,SWP,7,3,0,0,2015-06-12,2015-01-07,Coliform (TCR); TTHM,06/26/2026
IN5236005,INDIANA AMERICAN WATER - SEYMOUR,IN,Jackson,SEYMOUR,20725,8290,P,GW,9,0,0,0,1979-01-10,,,06/30/2026
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,CA,Los Angeles,ROSEMEAD,20724,6280,P,SWP,2,2,0,0,1997-01-02,1997-01-02,Coliform (TCR),06/22/2026
TN0000169,NORTHWEST UTILITY DISTRICT,TN,Hamilton,SODDY-DAISY,20710,8702,L,SW,14,2,0,0,2024-01-07,2001-01-07,Coliform (TCR),05/14/2026
OH8304112,LEBANON CITY,OH,Warren,LEBANON,20700,7848,L,SWP,18,5,0,0,2008-01-05,2004-01-04,Coliform (TCR),05/15/2026
NY2800136,AMSTERDAM (C),NY,Montgomery,AMSTERDAM (C),20700,6000,L,SW,35,33,1,0,2022-01-04,2022-01-04,Interim Enhanced Surface Water Treatment Rule; Lead and Copper Rule; TTHM; Total Haloacetic Acids (HAA5),06/25/2026
NJ0322001,MOORESTOWN WATER DEPT,NJ,Burlington,MOORESTOWN TWP.-0322,20700,7298,L,SWP,136,5,1,0,2027-06-12,2025-01-01,Benzene; Coliform (TCR); Lead and Copper Rule,06/30/2026
